OBJECTID,FIXED_PHARMACY,FIXED_ADDRESS,ZIPCODE,PHONE,HPV,T_DAP,OTHERS_BY_REQUEST,MENINGITIS,PNEUMOCOCCAL,WHOOPING_COUGH,TETANUS,MMR,PNEUMONIA,SHINGLES,INFLUENZA,HEPATITIS_A,HEPATITIS_B,NALOXONE_PROVIDER,INTRANASAL_NALOXONE,NALOXONE_INJECTOR,NALOXONE_TABLET,TOBACCO
216,NICE PHARMACY,110 E ALLEGHENY AVE,19134,(215) 425-0100,,,,,,,,,,,,,,YES,YES,,,
217,Ogontz Family Pharmacy,7622 OGONTZ AVE,19150,(215) 548-4800,,,,,,,,,,,,,,YES,YES,,,
218,Oaks Pharmacy,1401 S 4TH ST,19147,(215) 465-1414,,,,,,,,,,,,,,YES,YES,,,
219,Old City Pharm,210 MARKET ST,19106,(215) 625-6668,,,,,,,,,,YES,YES,,,YES,YES,,,
220,Olde Philly Pharmacy,2600 S 16TH ST,19145,(267) 773-7825,,,,,,,,,,,,,,YES,YES,,,
221,OLDE PHILLY PHARMACY,2923 E THOMPSON ST,19134,(215) 739-0548,,,,,,,,,YES,,YES,,YES,YES,YES,YES,,
222,Overbrook Plaza Pharmacy,5610 LANCASTER AVE,19131,(215) 921-3656,,,,,,,,,,,,,,YES,YES,,,
223,OXFORD CIRCLE PHARMACY,1501 E CHELTENHAM AVE,19124,(215) 535-4302,,,,,,,,,,,,,,YES,YES,,,
224,OXFORD PHARMACY,3254 N FRONT ST,19140,(215) 425-1422,,,,,,,,,,,,,,YES,YES,,,
225,Packer Apothecary,1532 PACKER AVE,19145,(267) 909-9814,,,,,,,,,,,,,,YES,YES,,,
226,PATHMARK PHARMACY,2900 N BROAD ST,19132,,,YES,YES,,,,,,YES,,YES,,,,,,,
227,Patient Care Pharmacy,801 WASHINGTON AVE,19147,(215) 592-1668,,,,,,,,,,,,,,YES,YES,YES,,
228,Pelham Pharmacy,6555 GREENE ST,19119,(215) 848-0500,,,YES,,,,,,,YES,YES,,,YES,YES,,,
229,Penn Medical University City Apothecary,3737 MARKET ST,19104,(215) 294-9393,,,,,,,,,,,,,,YES,YES,,,
230,Penn Presbyterian Apothecary,3910 Powelton Ave,19104,(215) 662-9496,,,,,,,,,,,,,,YES,YES,,,
231,Penn Presbyterian Medical Center Pharmacy,51 N 39TH ST,19104,(215) 662-9494,,,,,,,,,,,,,,YES,YES,,,
232,Pennmark Pharmacy,1735 SOUTH ST,19146,(215) 735-1200,,,,,,,,,,,,,,YES,YES,,,
233,Pennsport Mall Pharmacy,237 MCCLELLAN ST,19148,(267) 639-4657,,,,,,,,,,,,,,YES,YES,,,
234,Pharmacy & Nutrition Shoppe,1331 E WYOMING AVE,19124,(215) 537-7626,,,,,,,,,,,,,,YES,YES,,,
235,Pharmacy Health Center,1700 S BROAD ST,19145,(215) 685-1834,,,,,,,,,,,,,,YES,YES,,,
236,Pharmacy Health Center,555 S 43RD ST,19104,(215) 685-7511,,,,,,,,,,,,,,YES,YES,,,
237,Pharmacy of America of III,217 W LEHIGH AVE,19133,(215) 279-7981,,,,,,,,,,,,,,YES,YES,YES,,
238,Pharmacy of America,1500 E ERIE AVE,19124,(215) 289-9500,,,,,,,,,,,,,,YES,YES,,,
239,Pharmacy of America of IV,1900 N 9TH ST,19122,(215) 787-9999,,,,,,,,,,,,,,YES,,YES,,
240,PHARMACY OF AMERICA LLC,5872 OXFORD AVE,19149,(215) 613-7900,,,,,,,,,,,YES,,,YES,YES,,,
241,Pharmacy of America of V,232 W GIRARD AVE,19123,(267) 858-4279,,,,,,,,,,,,,,YES,YES,,,
242,Pharmacy of America of VI,919 LEVICK ST,19111,(215) 535-0555,,,,,,,,,,,,,,YES,YES,,,
243,Philadelphia Health Center Pharmacy,131 E CHELTEN AVE,19144,(215) 685-5714,,,,,,,,,,,,,,YES,YES,,,
244,Pharmacy Strawberry Mansion Health Center,2840 DAUPHIN ST,19132,,,,,,,,,,,,,,,YES,YES,,,
245,Philadelphia Health Center Pharmacy,1900 N 20TH ST,19121,(215) 685-2936,,,,,,,,,,,,,,YES,YES,,,
246,Philadelphia Health Center Pharmacy,2230 COTTMAN AVE,19149,(215) 685-0616,,,,,,,,,,,,,,YES,YES,,,
247,Philadelphia Health Center Pharmacy,321 W GIRARD AVE,19123,(215) 685-3822,,,,,,,,,,,,,,YES,YES,,,
248,Philadelphia Health Center Pharmacy,4400 HAVERFORD AVE,19104,(215) 685-7626,,,,,,,,,,,,,,YES,YES,,,
249,PHILADELPHIAN PHCY. ,2401 PENNSYLVANIA AVE,19130,(215) 232-0533,,,YES,,,,,,YES,YES,,,,YES,YES,,,
250,PHILADELPHIA PHARMACY,101 E LEHIGH AVE,19133,(215) 425-2800,,,,,,,,,YES,YES,YES,,,YES,YES,,,
251,Philly Pharmacy,1900F GRANT AVE,19115,(215) 969-5180,,,,,,,,,,,,,,YES,YES,,,
252,PICKWICK PHARMACY,1700 MARKET ST,19103,(215) 563-4860,,,,,,,,,,,,,,YES,YES,,,
253,Point Breeze Pharmacy,1407 POINT BREEZE AVE,19146,(267) 886-9150,,,,,,,,,,,,,,YES,YES,,,
254,PORT RICHMOND PHARMACY,2512 E CLEARFIELD ST,19134,(215) 426-5099,,,,,,,,,YES,YES,YES,,,YES,YES,,,
255,QRX Pharmacy,7063 CASTOR AVE,19149,(215) 725-3784,,,,,,,,,,,YES,,,YES,YES,YES,,
256,QRX2 Pharmacy Medical Supply,7339 FRANKFORD AVE,19136,(215) 331-2100,,,,,,,,,,,,,,YES,YES,YES,,
257,QRX3 Pharmacy & Medical Supply,962 E TIOGA ST,19134,(267) 606-6363,,,,,,,,,,,,,,YES,YES,,,
258,RAPOPORT PHARMACY,6934 BUSTLETON AVE,19149,(215) 333-1566,,,,,,,,,,YES,,,,YES,YES,,,
259,Rena's Pharmacy,2904 S 70TH,19142,(267) 457-4555,,,,,,,,,,,,,,YES,YES,,,
260,Reses Pharmacy,5739 CHESTER AVE,19143,(215) 726-1224,,,,,,,,,,,,,,YES,YES,,,
261,Ridge Discount Pharmacy,1406 RIDGE AVE,19130,(267)-519-3387,,,,,,,,,,,,,,YES,YES,,,
262,Rising Sun Pharmacy,500 DEVEREAUX AVE,19111,(215) 613-6272,,,,,,,,,,,,,,YES,YES,,,
263,Rite Aid  Pharmacy,7700 CRITTENDEN ST Suite 101C,19118,(215) 242-8022,,YES,YES,,,,,YES,,YES,YES,YES,YES,YES,YES,,,
264,Rite Aid  Pharmacy,1000 MARKET ST,19107,(215) 351-5314,,YES,YES,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
265,Rite Aid  Pharmacy,10 SNYDER AVE,19148,(215) 465-3270,,,,,,,,,,,,,,YES,YES,,,
266,Rite Aid  Pharmacy,9910 FRANKFORD AVE Suite 250,19114,(215) 824-2700,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,
267,Rite Aid  Pharmacy,11750 BUSTLETON AVE,19116,(215) 934-6221,,,,,,,,,,,,,,YES,YES,,,
268,Rite Aid  Pharmacy,12311 ACADEMY RD,19154,(215) 637-4690,,,,,,,,,,,,,,YES,YES,,,
269,Rite Aid  Pharmacy,1201 W GIRARD AVE,19123,(215) 236-4859,,,,,,,,,,,,,,YES,YES,,,
270,Rite Aid  Pharmacy,1315 E WASHINGTON LN,19138,(215) 549-0555,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
271,Rite Aid  Pharmacy,136 N 63RD ST,19139,(215) 472-7820,,,,,,,,,,,,YES,YES,YES,YES,YES,,
272,Rite Aid  Pharmacy,1334 WINDRIM AVE,19141,(215) 455-6162,,YES,YES,,YES,,,,,YES,YES,YES,YES,YES,YES,,,
273,Rite Aid  Pharmacy,1443 S 7TH ST,19147,(215) 463-7748,,,,,,,,,,,,YES,YES,YES,YES,,,
274,Rite Aid  Pharmacy,1500 W MOYAMENSING AVE,19145,(215) 465-1475,,,,,,,,,,,,YES,YES,YES,YES,,,
275,Rite Aid  Pharmacy,1528 N BROAD ST,19121,(215) 765-9332,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,
276,Rite Aid  Pharmacy,1628 CHESTNUT ST,19103,(215) 972-0234,,,,,,,,,,,,YES,YES,YES,YES,,,
277,Rite Aid  Pharmacy,164 W CHELTEN AVE,19144,(215) 438-5167,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
278,Rite Aid  Pharmacy,1900 ARCH ST,19103,"(717) 761-2633, (215) 587-2101",,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,
279,Rite Aid  Pharmacy,1924 FAIRMOUNT AVE,19130,(215) 765-5078,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,
280,Rite Aid  Pharmacy,2000 HAMILTON ST,19130,(215) 567-2017,,,,,,,,,,,,YES,YES,YES,YES,,,
281,Rite Aid  Pharmacy,2017 S BROAD ST,19148,(215) 467-0850,,,,,,,,,,,,YES,YES,YES,YES,,,
282,Rite Aid  Pharmacy,2121 W LEHIGH AVE,19132,(215) 226-6479,YES,YES,YES,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
283,Rite Aid  Pharmacy,2131 N BROAD ST,19122,(215) 236-2297,,,,,,,,,YES,YES,YES,,,YES,YES,YES,,
284,Rite Aid  Pharmacy,215 S BROAD ST,19107,(215) 735-3593,,,,,,,,,,,,,,YES,YES,,,
285,Rite Aid  Pharmacy,2301 WALNUT ST,19103,(215) 636-9634,YES,YES,YES,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
286,Rite Aid  Pharmacy,2201 W ALLEGHENY AVE,19132,(215) 223-8979,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES,,,
287,Rite Aid  Pharmacy,2503 WELSH RD,19114,(215) 671-0544,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,
288,Rite Aid  Pharmacy,2401 E VENANGO ST,19134,(215) 743-8530,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
289,Rite Aid  Pharmacy,2545 ARAMINGO AVE,19125,(215) 423-2361,,,,,,,,,,,,,,YES,YES,,,
290,Rite Aid  Pharmacy,2512 ISLAND AVE,19153,(215) 937-9665,,,,,,,,,,,,,,YES,YES,,,
291,Rite Aid  Pharmacy,260 W LEHIGH AVE,19133,(215) 425-3784,,,,,,YES,,,YES,YES,YES,YES,YES,YES,YES,,,
292,Rite Aid  Pharmacy,2801 W DAUPHIN ST,19132,(215) 225-1912,YES,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,
293,Rite Aid  Pharmacy,3000 REED ST,19146,(215) 467-7920,,,,,,,,,,,,,,YES,YES,,,
294,Rite Aid  Pharmacy,3200 RED LION RD,19114,(215) 637-1200,,,,,,,,,,,,YES,YES,YES,YES,,,
295,Rite Aid  Pharmacy,3260 N BROAD ST,19140,(215) 225-9704,YES,YES,YES,,,,,,YES,YES,YES,,,YES,YES,,,
296,Rite Aid  Pharmacy,338 E ALLEGHENY AVE,19134,(215) 634-4397,,,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,
297,Rite Aid  Pharmacy,339 SPRING GARDEN ST,19123,(215) 625-9802,,,,,,,,,,,,YES,YES,YES,YES,,,
298,Rite Aid  Pharmacy,3601 MIDVALE AVE,19129,(215) 842-2950,,,,,,,,,,,,YES,YES,YES,YES,,,
299,Rite Aid  Pharmacy,3900 CASTOR AVE,19124,(215) 289-4566,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
300,Rite Aid  Pharmacy,4011 COTTMAN AVE,19135,(215) 332-8899,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
301,Rite Aid  Pharmacy,4000 WOODHAVEN RD,19154,(215) 637-7840,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,
302,Rite Aid  Pharmacy,4055 MARKET ST,19104,(215) 382-4260,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,
303,Rite Aid  Pharmacy,4390 RICHMOND ST,19137,(215) 533-6564,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
304,Rite Aid  Pharmacy,4530 N 5TH ST,19140,(215) 455-7330,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
305,Rite Aid  Pharmacy,4616 N BROAD ST,19140,(215) 329-4840,YES,YES,YES,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
306,Rite Aid  Pharmacy,4641 CHESTNUT ST,19139,(215) 474-5447,,,,,,,,,,,,,,YES,YES,,,
307,Rite Aid  Pharmacy,5040 CITY LINE AVE,19131,(215) 877-2116,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,
308,Rite Aid  Pharmacy,5214 BALTIMORE AVE,19143,(215) 476-1724,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,
309,Rite Aid  Pharmacy,5272 TORRESDALE AVE,19124,(215) 535-6854,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,
310,Rite Aid  Pharmacy,5301 CHEW AVE,19138,(215) 438-4695,,,,,,,,,,,,YES,YES,YES,YES,,,
311,Rite Aid  Pharmacy,5440 LANSDOWNE AVE,19131,(215) 877-1506,,,,,,,,,,,,,,YES,YES,,,
312,Rite Aid  Pharmacy,5400 RISING SUN AVE,19120,(215) 329-0312,YES,YES,YES,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
313,Rite Aid  Pharmacy,5612 N 5TH ST,19120,(215) 927-0366,,,YES,,,YES,YES,,YES,YES,YES,,,YES,YES,,,
314,Rite Aid  Pharmacy,5627 CHESTNUT ST,19139,(215) 474-1163,,,,,,,YES,,YES,YES,YES,YES,YES,YES,YES,,,
315,Rite Aid  Pharmacy,5694 RISING SUN AVE,19120,(215) 725-5132,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
316,Rite Aid  Pharmacy,6101 N BROAD ST,19141,(215) 924-9645,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
317,Rite Aid  Pharmacy,5911 RIDGE AVE,19128,(215) 482-1992,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
318,Rite Aid  Pharmacy,6201 GERMANTOWN AVE,19144,(215) 713-2695,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,YES,,
319,Rite Aid  Pharmacy,6327 TORRESDALE AVE,19135,(215) 331-9929,,,,,,,,,,,,,,YES,YES,,,
320,Rite Aid  Pharmacy,6363 FRANKFORD AVE,19135,(215) 335-4882,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
321,Rite Aid  Pharmacy,6401 OXFORD AVE,19111,(215) 745-2557,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
322,Rite Aid  Pharmacy,6515 CASTOR AVE,19149,(215) 535-2800,,,,,,,,,,,,,,YES,YES,,,
323,Rite Aid  Pharmacy,6731 WOODLAND AVE,19142,(215) 724-9677,,,,,,,,,,,,,YES,YES,YES,,,
324,Rite Aid  Pharmacy,6744 N 5TH ST,19126,(215) 224-2060,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
325,Rite Aid  Pharmacy,730 MARKET ST,19106,(215) 627-6433,,,,,,,,,,,,,,YES,YES,,,
326,Rite Aid  Pharmacy,704 E PASSYUNK AVE,19147,(215) 627-3151,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,
327,Rite Aid  Pharmacy,7401 OGONTZ AVE,19138,(215) 224-9997,,YES,,,,,,,YES,YES,YES,YES,YES,YES,YES,,,
328,Rite Aid  Pharmacy,7418 OXFORD AVE,19111,(215) 725-6660,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
329,Rite Aid  Pharmacy,7564 HAVERFORD AVE,19151,(215) 878-4636,,,,,,,,,,,,,YES,YES,YES,,,
330,Rite Aid  Pharmacy,7615 LINDBERGH BLVD,19153,(215) 492-0492,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
331,Rite Aid  Pharmacy,7941 OXFORD AVE,19111,(215) 745-9060,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
332,Rite Aid  Pharmacy,7972 CASTOR AVE,19152,(215) 728-4981,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
333,Rite Aid  Pharmacy,801 S 9TH ST,19147,(215) 925-4481,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,
334,Rite Aid  Pharmacy,810 S BROAD ST,19146,(215) 985-0113,,,,,,,,,,,,YES,YES,YES,YES,,,
335,Rite Aid  Pharmacy,8235 STENTON AVE,19150,(215) 247-8535,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
336,Rite Aid  Pharmacy,8130 ROOSEVELT BLVD,19152,(215) 331-0160,,,,,,,,,,,,,,YES,YES,,,
337,Rite Aid  Pharmacy,8445 FRANKFORD AVE,19136,(215) 333-0535,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
338,Rite Aid  Pharmacy,9280 KREWSTOWN RD,19115,(215) 676-1453,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
339,Rite Aid  Pharmacy,9200 FRANKFORD AVE,19114,(215) 708-1591,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
340,Rite Aid  Pharmacy,9920 BUSTLETON AVE,19115,(215) 464-1177,,,,,,,,,,,,,,YES,YES,,,
341,Rite Aid  Pharmacy,9773 ROOSEVELT BLVD,19114,(215) 673-0747,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,,
342,RITE AID PHARMACY,1021 W GIRARD AVE,19123,,,,YES,YES,,,,,YES,YES,YES,YES,YES,,,,,
343,RITE AID PHARMACY,113 W WYOMING AVE,19140,,YES,YES,YES,YES,,,YES,YES,,YES,YES,YES,YES,,,,,
344,Ritechoice Pharmacy,4700 WISSAHICKON AVE,19144,(267) 336-7506,,,,,,,,,,,,,,YES,YES,,,
345,RiteChoice Pharmacy,850 N 11TH ST,19123,(215) 769-2155,,,,,,,,,,,,,,YES,YES,,,
346,RXD Medication Services,1335 W TABOR RD,19141,(215) 927-6700,,,,,,,,,,,,,,YES,YES,,,
347,Sam's Pharmacy,1000 FRANKLIN MILLS CIRCLE,19154,(215) 281-1631,,,,,,,,,,,,,,YES,YES,YES,,
348,ROSICA PHARMACY,2065 SNYDER AVE,19145,(215) 334-4477,,,,,,,,,,,,,,YES,YES,,,
349,SAMUEL J. ROBINSON PHCY,2848 W LEHIGH AVE,19132,(215) 228-7177,,YES,YES,,,,,,YES,YES,YES,,YES,YES,YES,,,
350,Sankofa Pharmacy,7223 RISING SUN AVE,19111,(215) 268-3426,,,,,,,,,,,,,,YES,YES,YES,,
351,SAV-MOR PHARMACY,2232 S 7TH ST,19148,(215) 467-1220,,,,,,,,,,,,,,YES,YES,,,
352,Savon Pharmacy,6640 OXFORD AVE,19111,(215) 725-9319,,,,,,,,,,,,,,YES,YES,,,
353,Savon Pharmacy,920 RED LION RD,19115,(215) 676-6279,,,,,,,,,,,,,,YES,YES,,,
354,Shop and Carry Pharmacy Inc,1301 LINDLEY AVE,19141,(267) 297-5030,,,,,,,,,,,,,,YES,YES,,,
355,Sedgley Plaza Pharmacy Inc,2815 RIDGE AVE,19121,(215) 978-0104,,,,,,,,,,,,,,YES,YES,,,
356,SHOP RITE PHCY (#402),6301 OXFORD AVE,19111,(215) 744-0800,,,,,,,,,,,,,YES,YES,YES,,,
357,SHOP RITE PHARMACY,1575 N 52ND ST,19131,(215) 220-8800,,,,,,,,,,,,,,YES,YES,,,
358,SHOP RITE PHCY. (#537),101 E OLNEY AVE,19120,(215) 224-7505,,,,,,,,,,,,,,YES,YES,,,
359,Shoprite Pharmacy,11000 ROOSEVELT BLVD,19116,(215) 673-1210,,,,,,,,,,,,,,YES,YES,,,
360,Shoprite Pharmacy,9910 FRANKFORD AVE,19114,(215)-637-1555,,,,,,,,,,,,,,YES,YES,,,
361,Shoprite Pharmacy,2385 W CHELTENHAM AVE,19150,(215) 885-7779,,,,,,,,,,,,,,YES,YES,,,
362,Shoprite Pharmacy,2800 FOX ST,19129,(215) 717-1422,,,,,,,,,,,,,,YES,YES,,,
363,Shoprite Pharmacy,3745 ARAMINGO AVE,19137,(215) 288-2828,,,,,,,,,,,,,,YES,YES,,,
364,Shoprite Pharmacy,2946 ISLAND AVE,19153,(215) 937-0327,,,,,,,,,,,,,,YES,YES,,,
365,Shoprite Pharmacy,5675 N FRONT ST,19120,(215) 224-7505,,,,,,,,,YES,YES,YES,,,YES,YES,,,
366,Shoprite Pharmacy,6901 RIDGE AVE,19128,(215) 482-7900,,,,,,,,,,,,,,YES,YES,,,
367,Sidney Hillman M/C Pharmacy,1740 SOUTH ST,19146,(215) 496-9595,,,,,,,,,,,,,,YES,YES,,,
368,SILVERMAN PHARMACY,2501 S 7TH ST,19148,(215) 465-3081,,,,,,,,,,,,,,YES,YES,,,
369,Smith's Pharmacy,133 W HUNTING PARK AVE,19140,(215) 324-5100,YES,,,,YES,YES,YES,,YES,YES,YES,YES,YES,YES,YES,,,
370,Smith's Pharmacy,841 E HUNTING PARK AVE,19124,(215) 537-3000,,,,,,,,,,YES,YES,YES,YES,YES,YES,,,
371,SS Pharmacy,8275 BUSTLETON AVE,19152,(215) 722-5300,,,,,,,,,,,,,,YES,,YES,,
372,SUBURBAN PHARMACY,10875 BUSTLETON AVE,19116,(215) 673-0994,,,,,,,,,,,,,,YES,YES,,,
373,SUN RAY DRUGS,25 S 60TH ST,19139,(215) 474-4550,,,,,,,,,,,,,,YES,YES,,,
374,SUMMERDALE PHARMACY,900 E SANGER ST,19124,(215) 743-6349,,,,,,,,,,,,,,YES,YES,,,
375,SUN RAY DRUGS,142 S 52ND ST,19139,(215) 474-4615,,,,,,,,,,,,,,YES,YES,,,
376,SUN RAY DRUGS,3635 GERMANTOWN AVE,19140,(215) 223-2033,,,,,,,,,,,,,,YES,YES,,,
377,SUN RAY DRUGS,5537 MARKET ST,19139,(215) 474-1700,,,,,,,,,,,,,,YES,YES,,,
378,SUN RAY/PROGRESS PLAZA,1501 N BROAD ST,19122,(215) 235-4000,,,,,,,,,,,,,,YES,YES,,,
379,SUNRAY DRUGS,4323 CHESTNUT ST,19104,(215) 387-5000,,,,,,,,,,,,,,YES,YES,,,
380,SUNRAY DRUGS,424 E ALLEGHENY AVE,19134,(215) 423-8500,,,,,,,,,,,,,,YES,YES,,,
381,SUNRAY DRUGS,5006 BALTIMORE AVE,19143,(215) 748-1000,,,,,,,,,,,,,,YES,YES,,,
382,SUNRAY DRUGS,825 E ALLEGHENY AVE,19134,(215) 425-7700,,,,,,,,,,,,,,YES,YES,,,
383,Tacony Pharmacy,7100 TORRESDALE AVE,19135,(267) 686-6256,,,,,,,,,,,,,,YES,YES,,,
384,Tang Pharmacy II,5600 N 5TH ST,19120,(215) 224-3333,,,,,,,,,,,YES,,,YES,YES,,,
385,Tang Pharmacy IV,900 N BROAD ST,19130,(215) 235-1400,,,,,,,,,,,,,,YES,YES,,,
386,Tang Pharmacy III,6801 RISING SUN AVE,19111,(215) 725-6555,,,,,,,,,,,,,,YES,YES,,,
387,Tang Pharmacy V,7452 OGONTZ AVE,19138,(215) 548-1800,,,,,,,,,,,,,,YES,YES,,,
388,Temple University Hospital Outpatient Pharmacy,3401 N BROAD ST,19140,(215) 560-8161,,,,,,,,,,,,,,YES,YES,,,
389,The New Pharmacy,4624 WOODLAND AVE,19143,(215) 883-0568,,,,,,,,,,,,,,YES,YES,,,
390,The Apple Pharmacy,ERIE AVE AT FRONT ST,19134,(215) 427-6527,,,,,,,,,,,,,,YES,YES,,,
391,The Medicine Shoppe,3025 KENSINGTON AVE,19134,(215) 426-0250,,,,,,,,,,,,,,YES,YES,,,
392,Torresdale Pharmacy,3998 RED LION RD,19114,(215) 612-5400,,,,,,,,,,,,,,YES,YES,,,
393,TRANS DRUG STORE,5466 SPRUCE ST,19139,(215) 747-4700,,,,,,,,,,,,,,YES,YES,,,
394,"TRANS DRUG STORE, INC",6218 WOODLAND AVE,19142,(215) 729-1703,,,,,,,,,,,,,,YES,YES,,,
395,TRX PHARMACY,5520 WHITAKER AVE,19124,(215) 288-8701,,,,,,,,,,,,,,YES,YES,,,
396,United Pharmacy,206 CHELTEN AVE,19144,(215) 438-3880,,,,,,,,,,,,,,YES,,YES,,
397,Universal Pharmacy,3908 KENSINGTON AVE,19124,(215) 245-2020,,,,,,,,,,,,,,YES,YES,,,
398,UrbanCare Pharmacy,169 W LEHIGH AVE,19133,(267) 858-4662,,,,,,,,,,,,,,YES,YES,,,
399,Value Rx Pharmacy,2842 COTTMAN AVE,19149,(215) 941-6240,,,,,,,,,,,,,,YES,YES,,,
400,W GIRARD HEALTH PHARMACY,1207 N 5TH ST,19122,(215) 235-3245,,,,,,,,,,,,,,YES,YES,,,
401,VERREE PHARMACY,7960 VERREE RD,19111,(215) 342-0100,,,,,,,,,,,,,,YES,YES,YES,,
402,W Town Pharmacy,5259 RODMAN ST,19143,(215) 921-9346,,,,,,,,,,,,,,YES,YES,,,
403,W VILLAGE PHARMACY,3901 CONSHOHOCKEN AVE,19131,(215) 879-2520,,,,,,,,,,,,,,YES,YES,YES,,
404,Walgreens Pharmacy,1 S BROAD ST,19107,(267) 330-0290,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,
405,Walgreens Pharmacy,10000 BUSTLETON AVE,19116,(215) 698-1878,,,,,,,,,,,,YES,YES,YES,YES,,,
406,Walgreens Pharmacy,1101 LOCUST ST,19107,(215) 629-5690,,,,,,,,,,,,,YES,YES,YES,,,
407,Walgreens Pharmacy,12050 BUSTLETON AVE,19116,(215) 673-0937,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,
408,Walgreens Pharmacy,1227 LOCUST ST,19107,(215) 772-2772,,,,,,,,,,,,,,YES,YES,YES,,
409,Walgreens Pharmacy,1347 CHESTNUT ST,19107,(267) 330-0290,,,,,,,,,,,,,,YES,YES,,,
410,Walgreens Pharmacy,1617 JOHN F KENNEDY BLVD,19103,(215) 561-1316,,YES,YES,,,,,,YES,,YES,YES,YES,YES,YES,,,
411,Walgreens Pharmacy,1607 BRIDGE ST,19124,(215) 537-0169,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,
412,Walgreens Pharmacy,1800 SOUTH ST,19146,(267) 273-7585,,YES,YES,,,,,,YES,,YES,YES,YES,YES,YES,,,
413,Walgreens Pharmacy,2014 S BROAD ST,19145,(215) 551-3818,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,
414,Walgreens Pharmacy,1809 E ALLEGHENY AVE,19134,(215) 426-0956,,YES,YES,,,,,,YES,,YES,YES,YES,YES,YES,,,
415,Walgreens Pharmacy,245 N BROAD ST,19107,(215) 563-9809,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,
416,Walgreens Pharmacy,2310 W OREGON AVE,19145,(215) 468-2481,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,YES,,
417,Walgreens Pharmacy,300 N 63RD ST,19139,(215) 476-2094,,,,,,,,,,,,,YES,YES,YES,,,
418,Walgreens Pharmacy,2655 S 10TH ST,19148,(215) 467-6050,,,YES,YES,,,,,YES,YES,YES,YES,YES,YES,YES,,,
419,Walgreens Pharmacy,4001 KENSINGTON AVE,19124,(215) 537-2304,,,,,,,,,,,,,,YES,YES,YES,,
